(-340, -387)
(279, 363)
(-240, -210)
(226, 386)
(88, 187)
(203, 370)
(-237, 328)
(138, 324)
(-364, 371)
(81, 211)
(346, 143)
(-366, 5)
(72, -227)
(295, 100)
(396, 251)
(254, -254)
(-138, -287)
(219, -296)
(333, 25)
(67, 305)
(320, -151)
(388, 371)
(377, 217)
(78, -144)
(-267, 4)
(-255, 275)
(323, 386)
(-83, 32)
(-291, -299)
(176, 59)
(3, -294)
(-267, -301)
(-365, 392)
(-365, -306)
(-159, -68)
(375, -294)
(37, 27)
(-43, -182)
(197, 41)
(172, 84)
(149, 226)
(164, -65)
(-272, -284)
(261, -21)
(-396, 116)
(268, 87)
(-5, -256)
(137, 238)
(194, 336)
(-166, -261)
(169, 59)
(198, -107)
(-186, -238)
(-105, 261)
(-150, 353)
(-311, 316)
(-180, -282)
(-321, 182)
(-274, -216)
(325, 367)
