A=8152 B=5866 C=6438 X=962352871 Y=4491528707 Z=15464265843 M=7249
A=2965 B=3773 C=6530 X=748399473 Y=6073767092 Z=50912320156 M=3572
A=8767 B=3747 C=8809 X=938446807 Y=3198577306 Z=16747283750 M=4802
A=2791 B=4136 C=8058 X=490478614 Y=3170347194 Z=92713003439 M=1118
A=7693 B=3666 C=7223 X=342673718 Y=3023647359 Z=85128920812 M=8902
A=2201 B=4916 C=7794 X=509304553 Y=3495951781 Z=44394918990 M=2688
A=5216 B=7247 C=8995 X=789968305 Y=2469280359 Z=88897330107 M=5495
A=8946 B=5470 C=9451 X=113478235 Y=1557843015 Z=17696778192 M=7120
A=5438 B=9615 C=9539 X=763258342 Y=6230065750 Z=54479529430 M=8181
A=4171 B=5061 C=6399 X=775475422 Y=4089585296 Z=23123403342 M=6826
A=8869 B=9468 C=7119 X=117310257 Y=1677441425 Z=20511701593 M=9144
A=9384 B=4060 C=7232 X=469207088 Y=7090002321 Z=57960745731 M=2181
A=4820 B=6168 C=5156 X=443583175 Y=3168586536 Z=39288664608 M=7728
A=6423 B=6910 C=7523 X=861934842 Y=7209902038 Z=26238282488 M=2545
A=2391 B=4382 C=8427 X=873611141 Y=2461635425 Z=60434054974 M=9111
A=6996 B=6555 C=6848 X=438032959 Y=4504601659 Z=30255952154 M=4686
A=2979 B=7847 C=6885 X=684906037 Y=7124900319 Z=26508502070 M=5994
A=8298 B=3294 C=8643 X=358085485 Y=2451044234 Z=77517756355 M=3409
A=4902 B=5346 C=6202 X=376446159 Y=3378453130 Z=33878455314 M=7017
A=9019 B=5539 C=5982 X=451295336 Y=9661351588 Z=96485431726 M=4088
A=3739 B=3266 C=9132 X=705865275 Y=1314557241 Z=63461098072 M=3062
A=5262 B=9548 C=9443 X=119952307 Y=5448176114 Z=80148182056 M=6686
A=4847 B=8791 C=9432 X=478491050 Y=5855966148 Z=67254784334 M=1071
A=3800 B=6336 C=9781 X=584090559 Y=1910981177 Z=14253066701 M=7548
A=7027 B=8188 C=8763 X=221202382 Y=8628154811 Z=75187248452 M=9539
A=5727 B=5378 C=9059 X=290028067 Y=9627884958 Z=74695976262 M=5204
A=7576 B=9694 C=9238 X=666103440 Y=5418661788 Z=81156714963 M=7185
A=5368 B=3249 C=7320 X=194406609 Y=2017740453 Z=28194606317 M=8498
A=4399 B=8062 C=7254 X=385535855 Y=9568479073 Z=11790279532 M=3662
A=8861 B=6763 C=8162 X=694561729 Y=7373358484 Z=45182658320 M=1851
A=4369 B=9007 C=5712 X=721857115 Y=7147474334 Z=42085456771 M=7127
A=8542 B=7916 C=6619 X=865185766 Y=7021837602 Z=78634786501 M=5505
A=7844 B=6980 C=8926 X=515496334 Y=5610251068 Z=34088150896 M=9963
A=3124 B=5382 C=9689 X=841564223 Y=7486078598 Z=42489825259 M=9937
A=5799 B=7401 C=8618 X=377250319 Y=2397016247 Z=50657698289 M=5840
A=5391 B=9907 C=7889 X=645104142 Y=7577471639 Z=73667159995 M=6042
A=8767 B=4072 C=6542 X=185001862 Y=1772163130 Z=27076256586 M=6494
A=7187 B=9354 C=9751 X=709653746 Y=6498310077 Z=68833328753 M=4744
A=2174 B=3265 C=6444 X=373503401 Y=2575481526 Z=15661458883 M=4150
A=7285 B=4115 C=8028 X=131197016 Y=8642206023 Z=23999628364 M=7582
A=6707 B=7663 C=5356 X=987300948 Y=2123286765 Z=56137885810 M=5397
