2733:rrrrrr GGgGGg BbBBbB
1099:rrRRrR GgggGG bBbbbb
3177:rRRrrr GgggGg BbBBbb
2911:RRRRRr ggGggg bbBbbb
6244:rrrrrR GggGgg bbBbbB
9352:RrRRrr GgGGGg bBBBbb
3886:rrrRRr gGGggg bBBbBB
6786:RrrRrR GgGgGG BBbBBb
5522:RrrrRr GGggGG bBBBbB
3906:RrrrRR GggGGg bbBbBB
2416:rRrrrr GgGGgG bbbbbb
1928:rRRrRr gggGGG bbBBbb
1983:rrrrRR GgGgGg bBbbbB
4604:RrRrrR gGGGgG BBBbbB
7538:rrrrRR GGgggg BBbBbb
7824:RRRrrR GGGGGg BBbBbb
3811:rRrRRr GgGGGG bbBbbB
1239:RrRRrr GGGGgg BBbbBB
6635:RRRRRR GGGGGG BBBBBB
1092:rrrrrr gggggg bbbbbb
